id,municipio,nombre,direccion,lunesViernes,horarioSabado,horarioDomingo ,picoyCedula,pcLunes,pcMartes,pcMiercoles,pcJueves,pcViernes,pcSabado,pcDomingo,domicilioDirecto,whatsappDomicilio,telefono
,CARTAGENA,TRECE DE JUNIO,Diagonal 32 No. 70 - 33,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,VILLA CANDELARIA,Transversal 54 No.106 - 99,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,OUTLET BOSQUE,Tranversal 53A No.29E - 44,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,ARJONA,ARJONA,Av Juncal Cra. 44 No. 49 - 35,6:00 AM A 6:00 PM,7:00 AM A 6:00 PM,7:00 AM A 6:00 PM,1,0-2-4-6-8,1-3-5-7-9,N/A,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,TURBACO,TURBACO,"Avenida Pastrana, Calle 17 No. 14 - 69",7:00 AM A 8:30 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,6849373
,CARTAGENA,PEDRO DE HEREDIA,Avenida Pedro de Heredia Calle 31 No. 39 - 260,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,LOS CAMPANOS,Calle 35 Con Cra 100 Esquina,6:00 AM A 9:30 PM,7:00 AM A 9:30 PM,7:00 AM A 9:30 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,SAN FERNANDO,Calle 83 No. 22B - 234,6:30 AM A 7:59 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,OLAYA PLAZA,Calle 32 No. 32 - 150,6:30 AM A 7:59 PM,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,CARMELO,Carrera 71 Mz 3 - 112,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,CAMPESTRE,Calle 10 No. 57 - 204 L2,6:30 AM A 7:59 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,CASTELLANA MALL,Calle 30 No. 65 - 20 CC Castellana Mall,6:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,ZARAGOCILLA,Diagonal 30 No. 55B - 30,6:30 AM A 7:59 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,BAZURTO,"Av.P/Heredia , Calle 32 No. 26 - 104",6:00 AM A 7:00 PM,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,CARTAGENA,24 HORAS,Avenida 3 No. 5 - 181 B/gde,6:00 AM A 11:00 PM,6:00 AM A 11:00 PM,6:00 AM A 11:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,3187119767,-,6930153
,CARTAGENA,LA PLAZUELA,Multicentro LA PLAZUELA,6:00 AM A 11:00 PM,7:00 AM A 11:00 PM,7:00 AM A 11:00 PM,1,0-2-4-6-8,1-3-5-7-9,0-2-4-6-8,N/A,N/A,0-2-4-6-8,1-3-5-7-9,-,-,6930153
,MONTERIA,CENTRO,Calle 31 No. 1 - 35 Monteria,7:30 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 6:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",7825152 - 3187119585,-,-
,MONTERIA,SAO CIRCUNVALAR,Carrera 14 No. 27 - 22 Circunvalar,7:30 AM A 9:00 PM,7:00 AM A 9:00 PM,7:30 AM A 9:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",7835877 - 3187119583,-,7897474
,MONTERIA,C.C. DEL SUR,Calle 10 No. 25 - 105,7:30 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",3187119656,3168754492,-
,CAUCASIA,CAUCASIA,Calle 1 con Carrera 20 CC Cauca Centro,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187120809,-,-
,LORICA,LORICA,Centro Troncal Via Coveñas Carrera 25 No. 11 -05,7:00 AM A 8:30 PM,7:00 AM A 8:30 PM,7:00 AM A 8:30 PM,1,"0,2,4,6,8 - 5:00 am-1:00 pm
1,3,5,7,9 - 1:00 pm - 9:00 pm","0,2,4,6,8 - 5:00 am-1:00 pm
1,3,5,7,9 - 1:00 pm - 9:00 pm","0,2,4,6,8 - 5:00 am-1:00 pm
1,3,5,7,9 - 1:00 pm - 9:00 pm",N/A,"0,2,4,6,8 - 5:00 am-1:00 pm
1,3,5,7,9 - 1:00 pm - 9:00 pm","0,2,4,6,8 - 5:00 am-1:00 pm
1,3,5,7,9 - 1:00 pm - 9:00 pm","0,2,4,6,8 - 5:00 am-1:00 pm
1,3,5,7,9 - 1:00 pm - 9:00 pm",3187120703 - 3187854571 - 3059373291,-,-
,PLANETA RICA,PLANETA RICA,Carrera 7 No. 16-35,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3187122034,-,-
,MONTELIBANO,MONTELÍBANO,Calle 16 No. 7C - 20,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3173709217,-,-
,CERETE,CERETE Cr 11,Carrera 11 No. 11 - 09,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,1,"1-2 
7:00 am - 9:00 pm","3 - 4
7:00 am - 9:00 pm","5 - 6
7:00 am - 9:00 pm","7 - 8
7:00 am - 9:00 pm","9 - 0
7:00 am - 9:00 pm","1-2-3  7:00 am - 1:30 pm
4 - 5  1:31 pm - 9:00 pm","6-7-8  7:00 am - 1:30 pm
9-0  1:31 pm - 9:00 pm",3152533902,-,-
,MONTERIA,SAO BUENAVISTA MONTERIA,C.C. Buenavista Av Circunvalar L 101,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",7910451 - 7910444 - 3152533920 - 3209285454,-,-
,MONTERIA,6 DE MARZO,Calle 22 con Carrera 17,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:30 AM A 8:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",3187121769,-,-
,APARTADÓ,SAO APARTADÓ,C.C. Nuestro Uraba,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N,N/A,N/A,-,-,-
,CIENAGA DE ORO,CIENAGA DE ORO,Calle 5 con Carrera 18 Esquina,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7569410 - 3162760125,-,-
,MONTERIA,MARGEN IZQUIERDA,CR 9W No 19A-10 Urb Vallejo,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:30 AM A 8:30 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","3145161355 - 3105147247
3164639719 - 3043436470",-,-
,MONTERIA,MONTEVERDE,Carrera 15 No. 48 - 60,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",3154283507,-,-
,MONTERIA,P5 MONTERIA,Carrera 15 6B 12,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",3187121926,-,-
,TURBO,TURBO,Carrera 13 No. 101 - 70,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,8:00 AM A 7:00 PM,1,"2,4,6,8,0",N/A,N/A,N/A,N/A,N/A,N/A,3157188801,-,-
,MONTERIA,MONTERIA,Carrera 2 No. 36 - 65 centro,7:00 AM A 7:00 PM,7:00 AM A 7:00 PM,8:00 AM A 2:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",7822235 - 3187120801,-,-
,CERETE,CERETE,Calle San Antonio,7:00 AM A 8:00 PM,7:00 AM A 8:00 PM,7:00 AM A 6:00 PM,1,"1-2 
7:00 am - 9:00 pm","3 - 4
7:00 am - 9:00 pm","5 - 6
7:00 am - 9:00 pm","7 - 8
7:00 am - 9:00 pm","9 - 0
7:00 am - 9:00 pm","1-2-3  7:00 am - 1:30 pm
4 - 5  1:31 pm - 9:00 pm","6-7-8  7:00 am - 1:30 pm
9-0  1:31 pm - 9:00 pm",7746764 - 3187120797,-,-
,MONTERIA,Cl 16 MONTERIA,Calle16 No. 7A - 14. El Taurino,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,1,"
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
0,2,4,6,8 - 7:00 am-1:30 pm
1,3,5,7,9 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm","
1-3-5-7-9 - 7:00 am-1:30 pm
0,2,4,6,8 - 1:31 pm- 8:30 pm",7837995 - 3187120792,,-
,NECOCLÍ,NECOCLÍ,Cll 50 No. 43-12 B/ Parroquial Sector del comercio,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,-,-
,SANTA MARTA,CENTRO,Calle 11 No. 8 - 54,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,6:00 AM A 4:00 PM,,,,,,,,,3187120748,-,-
,SANTA MARTA,RODADERO,Carrera 4 No. 13 - 58 Rodadero,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187120745,3187120644,-
,SANTA MARTA,SAO SANTA MARTA,Calle 23 No. 7 - 150,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187120749,-,4358282
,SANTA MARTA,AV. L/TADOR,Transversal 14 No. 27 - 256,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187120733,-,-
,SANTA MARTA,RECORD,Carrera 9 No. 10 - 41,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,6:00 AM A 4:00 PM,,,,,,,,,3187120729,-,-
,SANTA MARTA,SANTAMARTA,Carrera 18 No 30 - 36,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187121985,-,-
,FUNDACIÓN,FUNDACION,Calle 6A No. 8A - 16/18,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,6:00 AM A 8:00 PM,1,IMPAR,PAR,IMPAR,PAR,IMPAR,PAR,N/A,3187121522,-,-
,SANTA MARTA,TERMINAL SANTA MARTA,Calle 34 No. 29 - 10,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3168754492,3134727242-3134727253,4358282
,SANTA MARTA,GAIRA,Calle 6 No. 13 - 06,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 8:00 PM,,,,,,,,,3152533882,-,-
,SANTA MARTA,ESTACION MOVIL RIO,Transversal 14 No. 30 - 146,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187119904,-,4358282
,SANTA MARTA,CARRERA 24,Av. Libertador No. 24 - 59,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187120725,-,-
,RIOHACHA,SAO RIOACHA,Calle 15 No.15 - 74,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3187120709,3183727540,-
,SANTA MARTA,MANZANARES Cl 30,Calle 30 No. 6A - 97,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3165215105,3016425806,-
,ARACATACA,ARACATACA,Calle 8 No. 5A - 41,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3155337562,-,-
,SANTA MARTA,MINCA,Carrera 49 No. 53 - 67,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3164740887,-,-
,SANTA MARTA,LA BONGA,Carrera 16 No. 7 - 39,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3176683199,3205286044,-
,PIVIJAY,PIVIJAY,Calle 11 No. 12 - 02,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 8:00 PM,,,,,,,,,3023120555,-,-
,EL BANCO,EL BANCO MAGDALENA,Calle 7 No. 13 - 133,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,,,,,,,,,3182674221,-,-
,SANTA MARTA,GRAN BAZAR,Calle 22 No. 4L LA - 01 CC Gran Bazar,7:00 AM A 9:00 PM,7:00 AM A 9:00 PM,8:00 AM A 4:00 PM,,,,,,,,,3187119071,-,-
